"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1946157057","Darlington","E06000005","local authorities: district / unitary (prior to April 2015)",464,0,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",53443,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157057d0d1d20100",0,696
"2011","2011","2011","date",0,0,"1946157057","Darlington","E06000005","local authorities: district / unitary (prior to April 2015)",464,0,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",4002,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157057d0d8d20100",1,696
"2011","2011","2011","date",0,0,"1946157058","County Durham","E06000047","local authorities: district / unitary (prior to April 2015)",464,1,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",247101,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157058d0d1d20100",2,696
"2011","2011","2011","date",0,0,"1946157058","County Durham","E06000047","local authorities: district / unitary (prior to April 2015)",464,1,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",17013,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157058d0d8d20100",3,696
"2011","2011","2011","date",0,0,"1946157059","Hartlepool","E06000001","local authorities: district / unitary (prior to April 2015)",464,2,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",43513,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157059d0d1d20100",4,696
"2011","2011","2011","date",0,0,"1946157059","Hartlepool","E06000001","local authorities: district / unitary (prior to April 2015)",464,2,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",5194,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157059d0d8d20100",5,696
"2011","2011","2011","date",0,0,"1946157060","Middlesbrough","E06000002","local authorities: district / unitary (prior to April 2015)",464,3,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",63582,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157060d0d1d20100",6,696
"2011","2011","2011","date",0,0,"1946157060","Middlesbrough","E06000002","local authorities: district / unitary (prior to April 2015)",464,3,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",7631,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157060d0d8d20100",7,696
"2011","2011","2011","date",0,0,"1946157061","Northumberland","E06000057","local authorities: district / unitary (prior to April 2015)",464,4,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",158268,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157061d0d1d20100",8,696
"2011","2011","2011","date",0,0,"1946157061","Northumberland","E06000057","local authorities: district / unitary (prior to April 2015)",464,4,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",10329,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157061d0d8d20100",9,696
"2011","2011","2011","date",0,0,"1946157062","Redcar and Cleveland","E06000003","local authorities: district / unitary (prior to April 2015)",464,5,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",63530,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157062d0d1d20100",10,696
"2011","2011","2011","date",0,0,"1946157062","Redcar and Cleveland","E06000003","local authorities: district / unitary (prior to April 2015)",464,5,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",6533,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157062d0d8d20100",11,696
"2011","2011","2011","date",0,0,"1946157063","Stockton-on-Tees","E06000004","local authorities: district / unitary (prior to April 2015)",464,6,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",96259,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157063d0d1d20100",12,696
"2011","2011","2011","date",0,0,"1946157063","Stockton-on-Tees","E06000004","local authorities: district / unitary (prior to April 2015)",464,6,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8075,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157063d0d8d20100",13,696
"2011","2011","2011","date",0,0,"1946157064","Gateshead","E08000037","local authorities: district / unitary (prior to April 2015)",464,7,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",100184,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157064d0d1d20100",14,696
"2011","2011","2011","date",0,0,"1946157064","Gateshead","E08000037","local authorities: district / unitary (prior to April 2015)",464,7,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",7419,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157064d0d8d20100",15,696
"2011","2011","2011","date",0,0,"1946157065","Newcastle upon Tyne","E08000021","local authorities: district / unitary (prior to April 2015)",464,8,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",133848,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157065d0d1d20100",16,696
"2011","2011","2011","date",0,0,"1946157065","Newcastle upon Tyne","E08000021","local authorities: district / unitary (prior to April 2015)",464,8,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",10652,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157065d0d8d20100",17,696
"2011","2011","2011","date",0,0,"1946157066","North Tyneside","E08000022","local authorities: district / unitary (prior to April 2015)",464,9,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",104242,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157066d0d1d20100",18,696
"2011","2011","2011","date",0,0,"1946157066","North Tyneside","E08000022","local authorities: district / unitary (prior to April 2015)",464,9,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",7304,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157066d0d8d20100",19,696
